Last.Name,party.labels,aye,nay,other
Courtney,Democrat,66,163,91
Lewis,Democrat,59,145,116
Bera,Democrat,84,141,95
McCollum,Democrat,74,154,92
Olson,Republican,127,103,90
Buchanan,Republican,125,91,104
McCaul,Republican,125,95,100
Jeffries,Democrat,67,142,111
Jones,Republican,97,99,124
Welch,Democrat,68,147,105
Yoho,Republican,125,113,82
Runyan,Republican,130,112,78
Woodall,Republican,116,109,95
McKeon,Republican,126,110,84
Ruiz,Democrat,88,132,100
Hanna,Republican,108,109,103
Cicilline,Democrat,72,144,104
Yarmuth,Democrat,69,140,111
Franks,Republican,124,101,95
Stivers,Republican,120,118,82
Price,Republican,119,113,88
Hurt,Republican,130,95,95
Hastings,Democrat,62,132,126
Israel,Democrat,71,151,98
Westmoreland,Republican,117,97,106
Farr,Democrat,68,146,106
McCarthy,Republican,131,103,86
Price,Democrat,78,152,90
Scott,Republican,128,106,86
O'Rourke,Democrat,78,144,98
Visclosky,Democrat,66,164,90
Beatty,Democrat,75,147,98
DeGette,Democrat,66,144,110
Rooney,Republican,122,105,93
Benishek,Republican,116,118,86
Cooper,Democrat,79,153,88
Fortenberry,Republican,124,102,94
Meadows,Republican,130,98,92
Kilmer,Democrat,69,153,98
Broun,Republican,104,114,102
Kuster,Democrat,79,138,103
Blumenauer,Democrat,72,140,108
Maffei,Democrat,75,149,96
Jackson Lee,Democrat,66,148,106
Bonamici,Democrat,76,150,94
Webster,Republican,124,96,100
Pascrell,Democrat,72,142,106
Lynch,Democrat,50,126,144
Wenstrup,Republican,127,110,83
Tierney,Democrat,64,142,114
Amash,Republican,99,137,84
Swalwell,Democrat,76,157,87
Johnson,Democrat,73,139,108
Brady,Democrat,63,157,100
Cotton,Republican,116,123,81
Perry,Republican,126,108,86
Loebsack,Democrat,80,141,99
Rice,Republican,130,99,91
Kennedy,Democrat,71,153,96
Roybal-Allard,Democrat,67,150,103
Lowey,Democrat,76,150,94
Shea-Porter,Democrat,77,143,100
Higgins,Democrat,63,118,139
Roe,Republican,122,101,97
Turner,Republican,118,125,77
Ryan,Republican,131,105,84
Stewart,Republican,127,108,85
Sanford,Republican,73,83,164
Engel,Democrat,66,139,115
Luetkemeyer,Republican,131,107,82
Titus,Democrat,81,145,94
Vela,Democrat,76,158,86
CՍrdenas,Democrat,69,138,113
Watt,Democrat,72,142,106
Slaughter,Democrat,58,156,106
Barr,Republican,124,111,85
Ribble,Republican,116,113,91
Crowley,Democrat,64,159,97
LaMalfa,Republican,130,101,89
Massie,Republican,111,120,89
McHenry,Republican,130,98,92
Cuellar,Democrat,76,164,80
Reichert,Republican,123,120,77
Rohrabacher,Republican,100,100,120
Rokita,Republican,130,90,100
Lucas,Republican,125,112,83
Cartwright,Democrat,76,143,101
Carson,Democrat,71,150,99
Rangel,Democrat,72,148,100
Pelosi,Democrat,66,137,117
Barletta,Republican,130,104,86
Sessions,Republican,129,104,87
Bachmann,Republican,124,95,101
DelBene,Democrat,85,139,96
Huffman,Democrat,71,147,102
Frankel,Democrat,74,147,99
Granger,Republican,126,108,86
Smith,Republican,76,79,165
Scott,Democrat,80,142,98
VelՍzquez,Democrat,60,152,108
Fattah,Democrat,72,140,108
Issa,Republican,129,101,90
Harper,Republican,125,111,84
Peters,Democrat,82,135,103
Kline,Republican,130,105,85
SՍnchez,Democrat,64,160,96
Palazzo,Republican,120,103,97
Reed,Republican,112,115,93
Young,Republican,105,103,112
Bishop,Republican,120,104,96
Graves,Republican,119,110,91
Miller,Republican,118,79,123
Napolitano,Democrat,69,143,108
Carney,Democrat,80,140,100
Bass,Democrat,58,140,122
Pittenger,Republican,111,110,99
Hultgren,Republican,126,104,90
Ellison,Democrat,62,150,108
Wilson,Republican,128,110,82
Williams,Republican,129,103,88
Castor,Democrat,57,151,112
Langevin,Democrat,71,147,102
McKinley,Republican,130,105,85
Poe,Republican,111,109,100
Rogers,Republican,123,110,87
Neugebauer,Republican,125,102,93
Denham,Republican,117,126,77
Thornberry,Republican,128,114,78
Hanabusa,Democrat,78,146,96
Deutch,Democrat,68,147,105
Capps,Democrat,74,145,101
Speier,Democrat,63,133,124
Waters,Democrat,68,138,114
Radel,Republican,107,100,113
Holt,Democrat,58,125,137
Coffman,Republican,121,104,95
Smith,Democrat,69,153,98
Schweikert,Republican,124,95,101
Burgess,Republican,117,104,99
Cohen,Democrat,61,158,101
Pearce,Republican,119,114,87
McGovern,Democrat,56,162,102
Wasserman Schultz,Democrat,66,144,110
Lipinski,Democrat,78,125,117
Doyle,Democrat,69,145,106
Veasey,Democrat,68,156,96
Mulvaney,Republican,124,101,95
Smith,Republican,122,106,92
Thompson,Democrat,63,164,93
DeFazio,Democrat,65,148,107
Flores,Republican,115,112,93
Heck,Republican,118,128,74
Marino,Republican,126,110,84
Michaud,Democrat,74,145,101
Frelinghuysen,Republican,131,108,81
Peters,Democrat,66,156,98
Aderholt,Republican,117,108,95
Payne,Democrat,70,148,102
Rogers,Republican,127,99,94
Horsford,Democrat,68,114,138
Meehan,Republican,129,115,76
Gerlach,Republican,122,119,79
Enyart,Democrat,73,151,96
Upton,Republican,132,106,82
Garamendi,Democrat,75,136,109
Nunes,Republican,130,104,86
Delaney,Democrat,78,146,96
Walberg,Republican,116,115,89
Hensarling,Republican,130,103,87
Lankford,Republican,131,102,87
Pocan,Democrat,72,149,99
Schakowsky,Democrat,59,161,100
Stutzman,Republican,123,100,97
Hinojosa,Democrat,63,145,112
Pallone,Democrat,58,140,122
Thompson,Democrat,63,158,99
Lee,Democrat,49,157,114
Renacci,Republican,118,121,81
Hartzler,Republican,120,118,82
Rigell,Republican,115,109,96
Smith,Republican,129,107,84
Schrader,Democrat,79,140,101
Coble,Republican,118,91,111
Peterson,Democrat,67,156,97
Schneider,Democrat,90,127,103
Blackburn,Republican,127,100,93
Thompson,Republican,123,120,77
Murphy,Republican,131,106,83
Hunter,Republican,118,96,106
Green,Democrat,63,167,90
Capito,Republican,132,103,85
Garcia,Democrat,81,140,99
Gosar,Republican,122,95,103
Matheson,Democrat,80,144,96
Sewell,Democrat,74,152,94
Sanchez,Democrat,57,148,115
Grimm,Republican,108,110,102
Messer,Republican,129,99,92
Lujan Grisham,Democrat,79,151,90
Schwartz,Democrat,69,138,113
Huizenga,Republican,124,104,92
Waxman,Democrat,73,139,108
Clay,Democrat,73,138,109
Cummings,Democrat,64,145,111
Brooks,Republican,124,108,88
Moran,Democrat,69,145,106
Southerland,Republican,121,107,92
Amodei,Republican,119,97,104
Joyce,Republican,120,130,70
Brownley,Democrat,82,146,92
Bucshon,Republican,126,105,89
Griffith,Republican,119,109,92
Ellmers,Republican,127,110,83
LoBiondo,Republican,116,123,81
Tsongas,Democrat,72,137,111
Alexander,Republican,82,92,146
Camp,Republican,129,102,89
Bachus,Republican,128,107,85
Gabbard,Democrat,78,140,102
Jordan,Republican,116,107,97
Van Hollen,Democrat,77,145,98
Cassidy,Republican,125,93,102
Butterfield,Democrat,66,150,104
Lofgren,Democrat,72,153,95
Green,Democrat,69,156,95
Salmon,Republican,116,107,97
Shuster,Republican,129,101,90
Roby,Republican,129,113,78
Johnson,Republican,126,101,93
Foxx,Republican,117,119,84
Fincher,Republican,116,108,96
Matsui,Democrat,67,155,98
Kaptur,Democrat,74,154,92
King,Republican,125,102,93
Nugent,Republican,114,106,100
Nunnelee,Republican,124,110,86
Kildee,Democrat,73,159,88
Sherman,Democrat,77,148,95
Davis,Republican,111,116,93
Connolly,Democrat,75,151,94
Owens,Democrat,76,152,92
Ruppersberger,Democrat,75,149,96
Esty,Democrat,80,143,97
Gohmert,Republican,100,108,112
Ross,Republican,130,100,90
Gibbs,Republican,126,104,90
Guthrie,Republican,130,101,89
DesJarlais,Republican,124,104,92
Johnson,Democrat,65,157,98
Vargas,Democrat,73,145,102
Bustos,Democrat,89,135,96
Brown,Democrat,69,143,108
Latta,Republican,122,112,86
Rogers,Republican,126,118,76
Pingree,Democrat,67,149,104
Lowenthal,Democrat,72,148,100
Honda,Democrat,58,152,110
Farenthold,Republican,128,104,88
Fleming,Republican,122,109,89
Mullin,Republican,129,111,80
Hahn,Democrat,75,141,104
Cook,Republican,128,111,81
Hoyer,Democrat,68,157,95
Culberson,Republican,105,97,118
Takano,Democrat,75,148,97
Goodlatte,Republican,131,95,94
Conyers,Democrat,55,156,109
Smith,Republican,125,96,99
Barber,Democrat,94,132,94
Sensenbrenner,Republican,126,95,99
Weber,Republican,123,114,83
Gingrey,Republican,109,106,105
Noem,Republican,123,106,91
Becerra,Democrat,72,145,103
Forbes,Republican,120,117,83
Rothfus,Republican,130,104,86
Latham,Republican,118,127,75
Fudge,Democrat,70,150,100
Capuano,Democrat,54,162,104
Davis,Democrat,70,139,111
Maloney,Democrat,65,145,110
Neal,Democrat,57,143,120
Keating,Democrat,68,149,103
DeLauro,Democrat,72,140,108
Tiberi,Republican,116,114,90
Labrador,Republican,121,98,101
Wilson,Democrat,73,150,97
Bishop,Democrat,68,155,97
Gibson,Republican,116,108,96
Wittman,Republican,118,120,82
Huelskamp,Republican,117,107,96
Bilirakis,Republican,124,99,97
Brady,Republican,126,103,91
Cleaver,Democrat,74,146,100
Larson,Democrat,72,150,98
Clarke,Democrat,54,155,111
Scott,Democrat,76,143,101
Lamborn,Republican,123,106,91
Rahall,Democrat,70,154,96
Diaz-Balart,Republican,123,103,94
Hudson,Republican,115,120,85
Duffy,Republican,117,116,87
Valadao,Republican,117,125,78
Walz,Democrat,80,143,97
Womack,Republican,132,106,82
Serrano,Democrat,72,148,100
Clyburn,Democrat,69,150,101
Collins,Republican,128,103,89
Kirkpatrick,Democrat,69,155,96
Nadler,Democrat,62,144,114
Gowdy,Republican,124,94,102
Hall,Republican,125,101,94
Duncan,Republican,122,98,100
Andrews,Democrat,65,163,92
Sinema,Democrat,84,136,100
King,Republican,126,115,79
Miller,Democrat,53,140,127
Black,Republican,130,102,88
Kelly,Republican,132,112,76
Maloney,Democrat,84,144,92
Wagner,Republican,129,100,91
McClintock,Republican,124,106,90
Edwards,Democrat,68,148,104
Polis,Democrat,74,126,120
Paulsen,Republican,121,111,88
Schock,Republican,117,111,92
Himes,Democrat,79,138,103
Gutiթrrez,Democrat,50,126,144
Royce,Republican,125,102,93
Hastings,Republican,125,111,84
McMorris Rodgers,Republican,120,98,102
Richmond,Democrat,63,143,114
Chabot,Republican,131,97,92
Sarbanes,Democrat,62,159,99
Harris,Republican,129,98,93
Posey,Republican,123,109,88
Marchant,Republican,112,109,99
McDermott,Democrat,54,164,102
Pastor,Democrat,57,165,98
Perlmutter,Democrat,73,155,92
Daines,Republican,130,98,92
Scalise,Republican,128,96,96
Duncan,Republican,126,105,89
Mica,Republican,129,93,98
Johnson,Republican,120,112,88
Jenkins,Republican,119,124,77
Kingston,Republican,120,99,101
Costa,Democrat,60,161,99
Walden,Republican,129,109,82
Conaway,Republican,124,119,77
Larsen,Democrat,74,144,102
LujՍn,Democrat,72,156,92
Tonko,Democrat,75,140,105
Fleischmann,Republican,127,102,91
Bridenstine,Republican,125,111,84
DeSantis,Republican,124,106,90
Sires,Democrat,56,140,124
Pompeo,Republican,127,105,88
Cramer,Republican,123,106,91
Terry,Republican,119,121,80
Kinzinger,Republican,120,126,74
Kind,Democrat,61,157,102
Cole,Republican,130,102,88
Grijalva,Democrat,37,153,130
Stockman,Republican,117,112,91
Gardner,Republican,116,116,88
Ryan,Democrat,61,169,90
Meeks,Democrat,58,141,121
Bishop,Democrat,66,157,97
McIntyre,Democrat,91,124,105
Boustany,Republican,128,109,83
Garrett,Republican,120,103,97
Miller,Republican,120,110,90
Levin,Democrat,75,156,89
Wolf,Republican,124,109,87
Moore,Democrat,61,148,111
Meng,Democrat,67,140,113
Doggett,Democrat,75,142,103
Calvert,Republican,128,112,80
Nolan,Democrat,60,154,106
Fitzpatrick,Republican,121,117,82
Roskam,Republican,131,114,75
Foster,Democrat,86,139,95
Holding,Republican,119,117,84
Ros-Lehtinen,Republican,122,95,103
Dingell,Democrat,66,160,94
Graves,Republican,102,123,95
Negrete McLeod,Democrat,67,139,114
Griffin,Republican,120,113,87
Pitts,Republican,128,99,93
Crenshaw,Republican,126,114,80
Lance,Republican,120,115,85
Carter,Republican,121,110,89
Quigley,Democrat,78,133,109
Dent,Republican,122,116,82
McNerney,Democrat,79,152,89
Grayson,Democrat,69,146,105
Tipton,Republican,114,109,97
Murphy,Democrat,81,138,101
Gallego,Democrat,85,149,86
Young,Republican,130,101,89
Yoder,Republican,116,110,94
Long,Republican,130,106,84
Collins,Republican,115,112,93
Walorski,Republican,125,107,88
Braley,Democrat,75,138,107
Shimkus,Republican,124,96,100
Whitfield,Republican,126,106,88
Eshoo,Democrat,74,141,105
Davis,Democrat,73,146,101
Lummis,Republican,108,103,109
Heck,Democrat,80,139,101
Crawford,Republican,122,107,91
Barton,Republican,124,95,101
Bentivolio,Republican,123,109,88
Miller,Republican,128,107,85
Chaffetz,Republican,125,100,95
Chu,Democrat,62,149,109
Simpson,Republican,123,116,81
Barrow,Democrat,85,159,76
Brooks,Republican,130,107,83
Duckworth,Democrat,75,147,98
Petri,Republican,131,96,93
Kelly,Democrat,58,123,139
Schiff,Democrat,75,150,95
Cantor,Republican,124,102,94
Castro,Democrat,72,149,99