Player,Salary
Stephen Curry,"$48,070,014 "
Russell Westbrook,"$47,063,478 "
LeBron James,"$44,474,988 "
Kevin Durant,"$44,119,845 "
Bradley Beal,"$43,279,250 "
Damian Lillard,"$42,492,492 "
Giannis Antetokounmpo,"$42,492,492 "
Kawhi Leonard,"$42,492,492 "
Paul George,"$42,492,492 "
John Wall,"$47,345,760 "
Klay Thompson,"$40,600,080 "
Rudy Gobert,"$38,172,414 "
Anthony Davis,"$37,980,720 "
Khris Middleton,"$37,948,276 "
Jimmy Butler,"$37,653,300 "
Tobias Harris,"$37,633,050 "
Luka DonÄiÄ‡,"$37,096,500 "
Trae Young,"$37,096,500 "
Zach LaVine,"$37,096,500 "
Kyrie Irving,"$36,934,550 "
Ben Simmons,"$35,448,672 "
Pascal Siakam,"$35,448,672 "
Devin Booker,"$33,833,400 "
Karl-Anthony Towns,"$33,833,400 "
Kristaps PorziÅ†Ä£is,"$33,833,400 "
Jrue Holiday,"$33,665,040 "
Joel Embiid,"$33,616,770 "
Andrew Wiggins,"$33,616,770 "
CJ McCollum,"$33,333,333 "
Nikola JokiÄ‡,"$33,047,803 "
James Harden,"$33,000,000 "
Brandon Ingram,"$31,650,600 "
Jamal Murray,"$31,650,600 "
D'Angelo Russell,"$31,377,750 "
Shai Gilgeous-Alexander,"$30,913,750 "
Michael Porter Jr.,"$30,913,750 "
Deandre Ayton,"$30,913,750 "
De'Aaron Fox,"$30,351,780 "
Bam Adebayo,"$30,351,780 "
Donovan Mitchell,"$30,351,780 "
Jayson Tatum,"$30,351,780 "
Gordon Hayward,"$30,075,000 "
Jaren Jackson Jr.,"$28,946,605 "
Kevin Love,"$28,942,830 "
Jaylen Brown,"$28,741,071 "
Chris Paul,"$28,400,000 "
Kyle Lowry,"$28,333,334 "
Jalen Brunson,"$27,733,332 "
Kemba Walker,"$9,165,471 "
DeMar DeRozan,"$27,300,000 "
Al Horford,"$26,500,000 "
Draymond Green,"$25,806,468 "
Julius Randle,"$23,760,000 "
John Collins,"$23,500,000 "
Mike Conley,"$22,680,000 "
Malcolm Brogdon,"$22,600,000 "
Anfernee Simons,"$22,321,429 "
Nikola VuÄeviÄ‡,"$22,000,000 "
Terry Rozier,"$21,486,316 "
Fred VanVleet,"$21,250,000 "
Buddy Hield,"$21,177,750 "
Jerami Grant,"$20,955,000 "
Spencer Dinwiddie,"$20,171,427 "
Mikal Bridges,"$20,100,000 "
Jarrett Allen,"$20,000,000 "
Aaron Gordon,"$19,690,909 "
Tim Hardaway Jr.,"$19,602,273 "
Eric Gordon,"$19,568,360 "
Bojan BogdanoviÄ‡,"$19,550,000 "
Lonzo Ball,"$19,534,884 "
Caris LeVert,"$18,796,296 "
Clint Capela,"$18,706,896 "
Joe Harris,"$18,642,857 "
Domantas Sabonis,"$18,500,000 "
Harrison Barnes,"$18,352,273 "
Evan Fournier,"$18,000,000 "
Myles Turner,"$18,000,000 "
Bogdan BogdanoviÄ‡,"$18,000,000 "
Steven Adams,"$17,926,829 "
Gary Trent Jr.,"$17,505,000 "
Jonathan Isaac,"$17,400,000 "
OG Anunoby,"$17,357,143 "
Marcus Smart,"$17,207,142 "
Mitchell Robinson,"$17,045,454 "
Duncan Robinson,"$16,902,000 "
Derrick White,"$16,892,857 "
Norman Powell,"$16,758,621 "
Dejounte Murray,"$16,571,120 "
Collin Sexton,"$16,500,000 "
Markelle Fultz,"$16,500,000 "
Lauri Markkanen,"$16,475,454 "
Marcus Morris,"$16,372,093 "
DÄvis BertÄns,"$16,000,000 "
Jusuf NurkiÄ‡,"$15,625,000 "
Malik Beasley,"$15,558,035 "
Luguentz Dort,"$15,277,778 "
Tyus Jones,"$15,000,000 "
Jonas ValanÄiÅ«nas,"$14,700,000 "
Derrick Rose,"$14,520,730 "
Kevin Huerter,"$14,508,929 "
Luke Kennard,"$14,415,545 "
Will Barton,"$14,375,000 "
Christian Wood,"$14,317,459 "
Wendell Carter Jr.,"$14,150,000 "
Kentavious Caldwell-Pope,"$14,004,703 "
Brook Lopez,"$13,906,976 "
Doug McDermott,"$13,750,000 "
Zion Williamson,"$13,534,817 "
Jordan Clarkson,"$13,340,000 "
Kyle Kuzma,"$13,000,000 "
Gary Harris,"$13,000,000 "
Patrick Beverley,"$13,000,000 "
Josh Hart,"$12,960,000 "
Kelly Olynyk,"$12,804,878 "
Chris Boucher,"$12,690,000 "
Kelly Oubre Jr.,"$12,600,000 "
Marvin Bagley III,"$12,500,000 "
Dorian Finney-Smith,"$12,402,000 "
Robert Covington,"$12,307,692 "
Josh Richardson,"$12,196,094 "
Ja Morant,"$12,119,440 "
Devonte' Graham,"$11,550,000 "
Terrence Ross,"$11,500,000 "
Dillon Brooks,"$11,400,000 "
Richaun Holmes,"$11,215,260 "
Reggie Jackson,"$11,215,260 "
Dwight Powell,"$11,080,125 "
Paolo Banchero,"$11,055,120 "
Robert Williams,"$10,937,502 "
RJ Barrett,"$10,900,635 "
Bobby Portis,"$10,843,350 "
Nicolas Batum,"$19,700,319 "
Anthony Edwards,"$10,733,400 "
Cade Cunningham,"$10,552,800 "
P.J. Tucker,"$10,490,000 "
Danilo Gallinari,"$16,907,880 "
Mo Bamba,"$10,300,000 "
Talen Horton-Tucker,"$10,260,000 "
Jae Crowder,"$10,183,800 "
Derrick Favors,"$10,183,800 "
Ivica Zubac,"$10,123,457 "
Reggie Bullock,"$10,012,800 "
Alec Burks,"$10,012,800 "
Danny Green,"$10,000,000 "
Chet Holmgren,"$9,891,240 "
De'Andre Hunter,"$9,835,881 "
Larry Nance Jr.,"$9,672,727 "
James Wiseman,"$9,603,360 "
Landry Shamet,"$9,500,000 "
Malik Monk,"$9,472,219 "
Jalen Green,"$9,441,840 "
Jakob Poeltl,"$9,398,148 "
Dario Å ariÄ‡,"$9,240,000 "
Nerlens Noel,"$9,240,000 "
Royce O'Neale,"$9,200,000 "
Kemba Walker,"$9,165,471 "
Monte Morris,"$9,125,000 "
Mason Plumlee,"$9,080,417 "
Alex Caruso,"$9,030,000 "
Maxi Kleber,"$9,000,000 "
Darius Garland,"$8,920,795 "
Jabari Smith Jr.,"$8,882,640 "
Nicolas Batum,"$19,700,319 "
Kyle Anderson,"$8,780,488 "
Victor Oladipo,"$8,750,000 "
Daniel Theis,"$8,694,369 "
LaMelo Ball,"$8,623,920 "
Nic Claxton,"$8,500,000 "
Grayson Allen,"$8,500,000 "
Seth Curry,"$8,496,653 "
Evan Mobley,"$8,478,720 "
Gary Payton II,"$8,300,000 "
De'Anthony Melton,"$8,250,000 "
JaMychal Green,"$10,036,090 "
T.J. McConnell,"$8,100,000 "
Keegan Murray,"$8,008,440 "
Kevon Looney,"$8,000,000 "
Thaddeus Young,"$8,000,000 "
DeAndre Jordan,"$9,663,997 "
Isaiah Hartenstein,"$7,804,879 "
Delon Wright,"$7,804,878 "
Patrick Williams,"$7,775,400 "
Scottie Barnes,"$7,644,600 "
Cedi Osman,"$7,426,088 "
Coby White,"$7,413,955 "
Zach Collins,"$7,350,000 "
Taurean Prince,"$7,295,000 "
Jaden Ivey,"$7,252,200 "
Jae'Sean Tate,"$7,065,217 "
Isaac Okoro,"$7,040,880 "
Cody Martin,"$7,000,000 "
Jalen Suggs,"$6,922,320 "
Jaxson Hayes,"$6,803,012 "
Khem Birch,"$6,667,500 "
Bennedict Mathurin,"$6,586,800 "
Caleb Martin,"$6,479,000 "
John Wall,"$47,345,760 "
Patty Mills,"$6,479,000 "
Danilo Gallinari,"$16,907,880 "
Joe Ingles,"$6,479,000 "
Lonnie Walker IV,"$6,479,000 "
Bruce Brown,"$6,479,000 "
Onyeka Okongwu,"$6,395,160 "
Justin Holiday,"$6,292,440 "
Josh Giddey,"$6,287,400 "
Rui Hachimura,"$6,263,188 "
Rudy Gay,"$6,184,500 "
Shaedon Sharpe,"$6,012,960 "
Cameron Payne,"$6,000,000 "
Otto Porter Jr.,"$6,000,000 "
Cam Reddish,"$5,954,454 "
Cameron Johnson,"$5,887,899 "
Ricky Rubio,"$5,853,659 "
Killian Hayes,"$5,837,760 "
P.J. Washington,"$5,808,435 "
Jonathan Kuminga,"$5,739,840 "
Pat Connaughton,"$5,728,393 "
Tyler Herro,"$5,722,116 "
Romeo Langford,"$5,634,257 "
Dyson Daniels,"$5,508,600 "
JaVale McGee,"$5,461,219 "
Obi Toppin,"$5,348,280 "
Franz Wagner,"$5,258,280 "
Kendrick Nunn,"$5,250,000 "
Hamidou Diallo,"$5,200,000 "
Garrett Temple,"$5,155,500 "
Cory Joseph,"$5,155,500 "
Torrey Craig,"$5,121,951 "
Jeremy Sochan,"$5,063,520 "
David Nwaba,"$5,022,000 "
Nickeil Alexander-Walker,"$5,009,633 "
Furkan Korkmaz,"$5,000,000 "
Deni Avdija,"$4,916,160 "
Davion Mitchell,"$4,833,600 "
Johnny Davis,"$4,810,320 "
Goga Bitadze,"$4,765,339 "
Ish Smith,"$4,725,000 "
Dewayne Dedmon,"$7,566,667 "
Jalen Smith,"$4,670,160 "
Ziaire Williams,"$4,591,680 "
Ousmane Dieng,"$4,569,840 "
Maurice Harkless,"$4,564,980 "
Donte DiVincenzo,"$4,500,000 "
Jeff Green,"$4,500,000 "
Devin Vassell,"$4,437,000 "
Matisse Thybulle,"$4,379,527 "
Jarred Vanderbilt,"$4,374,000 "
James Bouknight,"$4,362,240 "
Brandon Clarke,"$4,343,920 "
Jalen Williams,"$4,341,480 "
Grant Williams,"$4,306,281 "
Darius Bazley,"$4,264,629 "
Ty Jerome,"$4,220,057 "
Tyrese Haliburton,"$4,215,120 "
Nassir Little,"$4,171,548 "
Joshua Primo,"$4,144,320 "
Jalen Duren,"$4,124,280 "
Danuel House Jr.,"$4,105,000 "
Justise Winslow,"$4,097,561 "
Dylan Windler,"$4,037,278 "
Kira Lewis Jr.,"$4,004,280 "
Terence Davis,"$4,000,000 "
George Hill,"$4,000,000 "
Chris Duarte,"$3,936,960 "
Jevon Carter,"$6,025,000 "
Alex Len,"$3,918,600 "
Ochai Agbaji,"$3,918,360 "
Jordan Poole,"$3,901,399 "
Keldon Johnson,"$3,873,025 "
Aaron Nesmith,"$3,804,360 "
Moses Moody,"$3,740,160 "
Mark Williams,"$3,722,040 "
Cole Anthony,"$3,613,680 "
Corey Kispert,"$3,552,840 "
AJ Griffin,"$3,536,160 "
Mike Muscala,"$3,500,000 "
Boban MarjanoviÄ‡,"$3,500,000 "
Georges Niang,"$3,465,000 "
Chuma Okeke,"$3,433,320 "
Isaiah Stewart,"$3,433,320 "
Amir Coffey,"$3,395,062 "
Alperen ÅžengÃ¼n,"$3,375,360 "
Tari Eason,"$3,359,160 "
Aleksej Pokusevski,"$3,261,480 "
Kevin Porter Jr.,"$3,217,631 "
Trey Murphy III,"$3,206,520 "
Simone Fontecchio,"$3,205,128 "
Andre Drummond,"$3,200,000 "
Derrick Jones Jr.,"$3,200,000 "
Dalen Terry,"$3,191,400 "
Josh Green,"$3,098,400 "
Jake LaRavia,"$3,047,640 "
Tre Mann,"$3,046,200 "
Jordan Nwora,"$3,000,000 "
Sterling Brown,"$3,000,000 "
Kevin Knox,"$3,000,000 "
Saddiq Bey,"$2,959,080 "
Malaki Branham,"$2,925,600 "
Kai Jones,"$2,909,040 "
Dewayne Dedmon,"$7,566,667 "
Andrew Nicholson,"$2,844,430 "
Precious Achiuwa,"$2,840,160 "
Christian Braun,"$2,808,600 "
Jalen Johnson,"$2,792,640 "
Tyrese Maxey,"$2,726,880 "
Bruno Fernando,"$2,717,391 "
Walker Kessler,"$2,696,400 "
Keon Johnson,"$2,681,040 "
Trey Lyles,"$2,625,000 "
Zeke Nnaji,"$2,617,800 "
David Roddy,"$2,588,640 "
Isaiah Jackson,"$2,573,760 "
MarJon Beauchamp,"$2,485,200 "
Usman Garuba,"$2,471,160 "
Leandro Bolmaro,"$2,471,160 "
Montrezl Harrell,"$2,463,490 "
Willy HernangÃ³mez,"$2,443,581 "
R.J. Hampton,"$2,412,840 "
Blake Wesley,"$2,385,480 "
Josh Christopher,"$2,372,160 "
Stanley Johnson,"$2,351,521 "
Immanuel Quickley,"$2,316,240 "
John Konchar,"$2,300,000 "
Damian Jones,"$2,298,385 "
Quentin Grimes,"$2,277,000 "
Andrew Nembhard,"$2,244,111 "
Nikola JoviÄ‡,"$2,239,920 "
Payton Pritchard,"$2,239,200 "
Vlatko ÄŒanÄar,"$2,234,359 "
Patrick Baldwin Jr.,"$2,226,000 "
TyTy Washington Jr.,"$2,210,040 "
Bones Hyland,"$2,201,520 "
Bol Bol,"$2,200,000 "
Peyton Watson,"$2,193,960 "
Marquese Chriss,"$2,193,920 "
Udoka Azubuike,"$2,174,880 "
Jaden McDaniels,"$2,161,440 "
Jordan McLaughlin,"$2,160,000 "
Malachi Flynn,"$2,145,720 "
Cam Thomas,"$2,138,160 "
Luke Kornet,"$2,133,278 "
Desmond Bane,"$2,130,240 "
Jaden Springer,"$2,125,200 "
Day'Ron Sharpe,"$2,109,480 "
Jevon Carter,"$6,025,000 "
Santi Aldama,"$2,094,120 "
Tony Bradley,"$2,036,318 "
Frank Ntilikina,"$2,036,318 "
Kenrich Williams,"$2,000,000 "
Caleb Houstan,"$2,000,000 "
Jaylin Williams,"$2,000,000 "
Jeremiah Robinson-Earl,"$2,000,000 "
Garrison Mathews,"$2,000,000 "
Shake Milton,"$1,997,718 "
Edmond Sumner,"$1,968,175 "
Daniel Gafford,"$1,930,681 "
Terance Mann,"$1,930,681 "
Dean Wade,"$1,930,681 "
Isaiah Roby,"$1,930,681 "
Jalen McDaniels,"$1,930,681 "
Naz Reid,"$1,930,681 "
Jaylen Nowell,"$1,930,681 "
Chimezie Metu,"$1,910,860 "
Davon Reed,"$1,902,133 "
KZ Okpala,"$1,902,133 "
ThÃ©o Maledon,"$1,900,000 "
Svi Mykhailiuk,"$3,714,810 "
Thanasis Antetokounmpo,"$1,878,720 "
Keita Bates-Diop,"$1,878,720 "
Moritz Wagner,"$1,878,720 "
Wenyen Gabriel,"$1,878,720 "
Oshae Brissett,"$1,846,738 "
Anthony Gill,"$1,836,090 "
Taj Gibson,"$1,836,090 "
Juancho HernangÃ³mez,"$1,836,090 "
Gorgui Dieng,"$1,836,090 "
Drew Eubanks,"$1,836,090 "
Bismack Biyombo,"$1,836,090 "
Josh Okogie,"$1,836,090 "
Damion Lee,"$1,836,090 "
Isaiah Joe,"$1,836,090 "
Bryn Forbes,"$1,836,090 "
Serge Ibaka,"$1,836,090 "
Wesley Matthews,"$1,836,090 "
Udonis Haslem,"$1,836,090 "
Dennis SchrÃ¶der,"$1,836,090 "
Thomas Bryant,"$1,836,090 "
Troy Brown Jr.,"$1,836,090 "
Juan Toscano-Anderson,"$1,836,090 "
Andre Iguodala,"$1,836,090 "
JaMychal Green,"$10,036,090 "
Rodney McGruder,"$1,836,090 "
DeAndre Jordan,"$9,663,997 "
Theo Pinson,"$1,836,090 "
Robin Lopez,"$1,836,090 "
Raul Neto,"$1,836,090 "
Goran DragiÄ‡,"$1,836,090 "
T.J. Warren,"$1,836,090 "
Frank Kaminsky,"$1,836,090 "
Aaron Holiday,"$1,836,090 "
Austin Rivers,"$1,836,090 "
Nathan Knight,"$1,836,090 "
Matthew Dellavedova,"$1,836,090 "
Ryan Arcidiacono,"$1,836,090 "
Svi Mykhailiuk,"$3,714,810 "
James Johnson,"$1,836,090 "
Facundo Campazzo,"$1,836,090 "
Dennis Smith Jr.,"$1,836,090 "
Yuta Watanabe,"$1,836,090 "
Markieff Morris,"$1,836,090 "
Blake Griffin,"$1,836,090 "
Justin Jackson,"$1,836,090 "
Noah Vonleh,"$1,836,090 "
Javonte Green,"$1,815,677 "
Max Strus,"$1,815,677 "
Gabe Vincent,"$1,815,677 "
Herbert Jones,"$1,785,000 "
Vernon Carey Jr.,"$1,782,621 "
Xavier Tillman Sr.,"$1,782,621 "
Tyrell Terry,"$1,782,621 "
Tre Jones,"$1,782,621 "
Paul Reed,"$1,782,621 "
Naji Marshall,"$1,782,621 "
Kenyon Martin Jr.,"$1,782,621 "
Lamar Stevens,"$1,782,621 "
Nick Richards,"$1,782,621 "
Saben Lee,"$1,752,638 "
Haywood Highsmith,"$1,752,638 "
Omer Yurtseven,"$1,752,638 "
Jericho Sims,"$1,639,842 "
Sam Hauser,"$1,637,966 "
Kessler Edwards,"$1,637,966 "
Justin Champagnie,"$1,637,966 "
Matt Ryan,"$1,637,966 "
Mac McClung,"$1,637,966 "
Isaiah Todd,"$1,575,000 "
Trendon Watford,"$1,563,518 "
Jared Butler,"$1,563,518 "
Greg Brown III,"$1,563,518 "
Miles McBride,"$1,563,518 "
Jose Alvarado,"$1,563,518 "
Jason Preston,"$1,563,518 "
Brandon Boston Jr.,"$1,563,518 "
Daishen Nix,"$1,563,518 "
Isaiah Livers,"$1,563,518 "
JT Thor,"$1,563,518 "
Marko Simonovic,"$1,563,518 "
Vit Krejci,"$1,563,518 "
Terry Taylor,"$1,563,518 "
Jock Landale,"$1,563,518 "
Dalano Banton,"$1,563,518 "
Aaron Wiggins,"$1,563,518 "
Austin Reaves,"$1,563,518 "
Ayo Dosunmu,"$1,563,518 "
Christian Koloko,"$1,500,000 "
Eric Bledsoe,"$1,300,000 "
Kennedy Chandler,"$1,200,000 "
Jaden Hardy,"$1,017,781 "
Josh Minott,"$1,017,781 "
Max Christie,"$1,017,781 "
Ryan Rollins,"$1,017,781 "
Jabari Walker,"$1,017,781 "
Chima Moneke,"$1,017,781 "
Tyrese Martin,"$1,017,781 "
Kyle Singler,"$999,200 "
Nik Stauskas,"$702,311 "
Juwan Morgan,"$576,230 "
Malik Fitts,"$555,217 "
D.J. Augustin,"$333,333 "
Trevelin Queen,"$330,000 "
Didi Louzada,"$268,032 "
D.J. Wilson,"$250,000 "
Wendell Moore Jr.,"$230,620 "
Sam Merrill,"$150,000 "
Ish Wainright,
Troy Williams,"$122,741 "
Demetrius Jackson,"$92,857 "
Charles Bassey,"$74,742 "
,
